"election","election_date","locality","precinct","Early Voting","Election Day","Mailed Absentee","Provisional","Post-Election","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","503 - MIDLOTHIAN","1576","1347","469","72","82","3546","4322","211","4533"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","504 - ROBIOUS","2141","1469","698","39","137","4484","5186","187","5373"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","505 - BON AIR","1213","1166","316","29","54","2778","3163","96","3259"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","506 - GREENFIELD","980","1315","238","45","59","2637","3230","180","3410"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","507 - SALISBURY","1616","1610","404","27","108","3765","4287","150","4437"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","508 - BELGRADE","1368","1093","415","62","80","3018","3906","244","4150"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","509 - CRANBECK","604","950","162","43","25","1784","2398","228","2626"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","510 - SYCAMORE","729","386","142","10","18","1285","1449","53","1502"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","511 - BLACK HEATH","783","858","193","20","19","1873","2082","60","2142"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","513 - BEAUFONT","483","758","122","53","26","1442","2122","227","2349"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","514 - WATKINS","1639","1308","443","43","58","3491","4121","172","4293"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","515 - DAVIS","969","924","198","80","10","2181","3296","283","3579"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","516 - POCOSHOCK NORTH","429","321","106","20","7","883","1171","40","1211"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","517 - ROSELAND","1019","1228","289","39","34","2609","2923","108","3031"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","518 - MIDLOTHIAN NORTH","1753","1173","494","34","68","3522","4146","245","4391"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","519 - BUFORD","103","103","39","12","4","261","321","17","338"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","520 - WALTON PARK","841","726","149","23","17","1756","2016","99","2115"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","521 - ROCKAWAY","1305","1472","372","32","40","3221","3867","203","4070"
"2024 November General","11/05/2024 00:00:00","CHESTERFIELD COUNTY","CHESTERFIELD COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","CLARKE COUNTY","101 - RUSSELL","1065","823","181","25","4","2098","2547","139","2686"
"2024 November General","11/05/2024 00:00:00","CLARKE COUNTY","201 - BERRYVILLE","926","770","128","55","13","1892","2384","188","2572"
"2024 November General","11/05/2024 00:00:00","CLARKE COUNTY","301 - MILLWOOD","786","595","152","27","5","1565","1881","135","2016"
"2024 November General","11/05/2024 00:00:00","CLARKE COUNTY","302 - PINE GROVE","279","293","61","7","5","645","755","57","812"
"2024 November General","11/05/2024 00:00:00","CLARKE COUNTY","401 - WHITE POST","776","918","134","24","7","1859","2280","148","2428"
"2024 November General","11/05/2024 00:00:00","CLARKE COUNTY","501 - BUCKMARSH","640","564","78","33","","1315","1641","104","1745"
"2024 November General","11/05/2024 00:00:00","CLARKE COUNTY","502 - BLUE RIDGE","175","288","39","13","4","519","621","40","661"
"2024 November General","11/05/2024 00:00:00","CLARKE COUNTY","CLARKE COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","COLONIAL HEIGHTS CITY","001 - FIRST","513","635","78","31","1","1258","1956","178","2134"
"2024 November General","11/05/2024 00:00:00","COLONIAL HEIGHTS CITY","002 - SECOND","675","758","87","49","3","1572","2363","191","2554"
"2024 November General","11/05/2024 00:00:00","COLONIAL HEIGHTS CITY","003 - THIRD","840","721","116","54","4","1735","2519","192","2711"
"2024 November General","11/05/2024 00:00:00","COLONIAL HEIGHTS CITY","004 - FOURTH","1226","789","209","67","6","2297","3063","247","3310"
"2024 November General","11/05/2024 00:00:00","COLONIAL HEIGHTS CITY","005 - FIFTH","1119","844","142","32","8","2145","2621","133","2754"
"2024 November General","11/05/2024 00:00:00","COLONIAL HEIGHTS CITY","COLONIAL HEIGHTS CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","COVINGTON CITY","101 - PRECINCT 1-1","114","277","18","12","","421","667","43","710"
"2024 November General","11/05/2024 00:00:00","COVINGTON CITY","201 - PRECINCT 2-1","150","302","22","10","","484","725","46","771"
"2024 November General","11/05/2024 00:00:00","COVINGTON CITY","301 - PRECINCT 3-1","109","230","28","14","1","382","689","66","755"
"2024 November General","11/05/2024 00:00:00","COVINGTON CITY","401 - PRECINCT 4-1","188","395","18","15","","616","807","32","839"
"2024 November General","11/05/2024 00:00:00","COVINGTON CITY","501 - PRECINCT 5-1","145","405","26","13","","589","798","29","827"
"2024 November General","11/05/2024 00:00:00","COVINGTON CITY","COVINGTON CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","101 - COURT HOUSE","255","299","19","9","1","583","727","33","760"
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","201 - AMMENDALE PRECINCT","229","382","31","8","","650","773","22","795"
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","301 - GIVENS & REYNOLDS STORE","50","306","18","6","1","381","468","22","490"
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","303 - MARSHALLS STORE","100","174","10","2","1","287","339","12","351"
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","401 - BARBOURS CREEK","119","161","7","3","1","291","359","15","374"
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","402 - PAINT BANK","7","47","1","2","5","62","77","4","81"
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","403 - CRAIG SPRINGS","118","168","12","12","1","311","381","21","402"
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","501 - CRAIG CITY","284","274","21","9","1","589","745","28","773"
"2024 November General","11/05/2024 00:00:00","CRAIG COUNTY","CRAIG COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","101 - WEST FAIRFAX","1678","1338","373","69","17","3475","4688","298","4986"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","201 - EAST FAIRFAX","1312","1256","247","68","14","2897","4211","308","4519"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","302 - EGGBORNSVILLE","685","737","157","23","6","1608","2018","62","2080"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","303 - CARDOVA","627","732","124","15","4","1502","2031","96","2127"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","304 - WILLOW SHADE","387","407","92","14","2","902","1244","81","1325"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","401 - ELDORADO","697","952","118","35","3","1805","2276","77","2353"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","402 - BROWNS STORE","1458","1277","264","29","6","3034","3731","109","3840"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","501 - JEFFERSONTON","979","1435","269","47","10","2740","3340","143","3483"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","502 - RIXEYVILLE","1097","1012","214","29","12","2364","2866","107","2973"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","601 - MITCHELLS","98","223","19","6","","346","441","20","461"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","602 - PEARL SAMPLE","1323","1043","300","31","5","2702","3438","143","3581"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","603 - SOUTH RIDGE","301","382","64","10","2","759","1056","93","1149"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","702 - BRANDY STATION","1284","1343","267","47","10","2951","3763","176","3939"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","703 - LIGNUM","356","613","76","12","4","1061","1375","51","1426"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","704 - RICHARDSVILLE","173","482","41","6","1","703","857","32","889"
"2024 November General","11/05/2024 00:00:00","CULPEPER COUNTY","CULPEPER COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","CUMBERLAND COUNTY","101 - PRECINCT 1","392","750","48","14","1","1205","1554","39","1593"
"2024 November General","11/05/2024 00:00:00","CUMBERLAND COUNTY","201 - PRECINCT 2","541","527","49","22","","1139","1560","39","1599"
"2024 November General","11/05/2024 00:00:00","CUMBERLAND COUNTY","301 - PRECINCT 3","529","520","43","16","","1108","1577","46","1623"
"2024 November General","11/05/2024 00:00:00","CUMBERLAND COUNTY","401 - PRECINCT 4","393","654","48","12","","1107","1516","40","1556"
"2024 November General","11/05/2024 00:00:00","CUMBERLAND COUNTY","501 - PRECINCT 5","264","611","65","24","","964","1328","65","1393"
"2024 November General","11/05/2024 00:00:00","CUMBERLAND COUNTY","CUMBERLAND COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","001 - WARD ONE","195","286","68","13","","562","870","134","1004"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","002 - WARD TWO","241","232","69","15","3","560","864","123","987"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","003 - WARD THREE","515","373","117","21","2","1028","1566","190","1756"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","004 - WARD FOUR","834","992","173","38","5","2042","3091","275","3366"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","006 - WARD SIX","150","271","97","13","","531","872","104","976"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","007 - WARD SEVEN","301","487","93","23","3","907","1665","176","1841"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","008 - WARD EIGHT","308","468","76","18","6","876","1410","114","1524"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","009 - WARD NINE","324","450","53","24","2","853","1252","90","1342"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","010 - WARD TEN","452","551","158","9","10","1180","1702","154","1856"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","011 - WARD ELEVEN","669","725","142","32","6","1574","2438","201","2639"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","012 - WARD TWELVE","677","743","171","35","3","1629","2314","164","2478"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","013 - WARD THIRTEEN","571","713","151","36","3","1474","2194","244","2438"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","014 - WARD FOURTEEN","72","104","34","","","210","353","40","393"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","015 - WARD FIFTEEN","541","727","114","22","3","1407","2071","154","2225"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","016 - WARD SIXTEEN","621","867","108","17","5","1618","2209","159","2368"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","017 - WARD SEVENTEEN","704","630","147","17","","1498","1893","114","2007"
"2024 November General","11/05/2024 00:00:00","DANVILLE CITY","DANVILLE CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","101 - SOUTH CLINTWOOD","755","600","79","28","1","1463","1976","110","2086"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","201 - NORA","132","297","35","11","1","476","674","51","725"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","202 - FRYING PAN","39","128","12","4","","183","251","13","264"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","203 - CLINCHCO","208","382","37","11","","638","905","55","960"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","301 - WEST DANTE","21","173","9","4","","207","275","14","289"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","302 - HERALD","80","324","23","10","","437","577","20","597"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","303 - RIDGE","161","248","22","14","","445","596","49","645"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","304 - LONGS FORK","147","196","19","13","","375","520","37","557"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","401 - HAYSI-COLLEY","375","882","86","30","1","1374","1893","150","2043"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","501 - TARPON","89","184","17","7","","297","439","23","462"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","502 - NORTH CLINTWOOD","589","535","65","21","3","1213","1598","87","1685"
"2024 November General","11/05/2024 00:00:00","DICKENSON COUNTY","DICKENSON COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","101 - WHITE OAK","172","398","26","5","1","602","772","30","802"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","102 - ROCKY RUN","407","541","75","22","2","1047","1387","64","1451"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","103 - CHURCH ROAD","613","844","85","16","2","1560","1940","56","1996"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","201 - ROHOIC","319","450","38","22","4","833","1214","78","1292"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","202 - SUTHERLAND","922","1122","175","41","4","2264","2982","129","3111"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","301 - REAMS","187","435","31","33","","686","862","38","900"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","302 - NEW HOPE","411","592","91","18","3","1115","1470","59","1529"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","303 - LITTLE ZION","828","720","136","26","","1710","2215","89","2304"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","401 - DINWIDDIE","851","723","99","17","3","1693","2186","88","2274"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","402 - MCKENNEY","339","559","57","23","","978","1381","55","1436"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","403 - CHERRY HILL","239","357","29","6","","631","805","33","838"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","501 - EDGEHILL","276","306","75","26","1","684","1077","72","1149"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","502 - CHESDIN","758","926","175","32","2","1893","2658","141","2799"
"2024 November General","11/05/2024 00:00:00","DINWIDDIE COUNTY","DINWIDDIE COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","EMPORIA CITY","101 - PRECINCT 1-1","93","266","27","7","","393","643","45","688"
"2024 November General","11/05/2024 00:00:00","EMPORIA CITY","201 - PRECINCT 2-1","60","133","38","3","","234","459","29","488"
"2024 November General","11/05/2024 00:00:00","EMPORIA CITY","301 - PRECINCT 3-1","120","208","26","1","","355","563","47","610"
"2024 November General","11/05/2024 00:00:00","EMPORIA CITY","401 - PRECINCT 4-1","102","220","33","6","","361","545","30","575"
"2024 November General","11/05/2024 00:00:00","EMPORIA CITY","501 - PRECINCT 5-1","67","132","20","3","","222","458","48","506"
"2024 November General","11/05/2024 00:00:00","EMPORIA CITY","601 - DISTRICT 6","140","239","18","2","","399","610","36","646"
"2024 November General","11/05/2024 00:00:00","EMPORIA CITY","701 - DISTRICT 7","56","155","13","9","1","234","473","37","510"
"2024 November General","11/05/2024 00:00:00","EMPORIA CITY","EMPORIA CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","ESSEX COUNTY","101 - GREATER TAPPAHANNOCK","660","573","67","20","3","1323","1805","159","1964"
"2024 November General","11/05/2024 00:00:00","ESSEX COUNTY","201 - NORTH","782","689","79","16","4","1570","2113","95","2208"
"2024 November General","11/05/2024 00:00:00","ESSEX COUNTY","301 - SOUTH","751","800","93","5","3","1652","2111","85","2196"
"2024 November General","11/05/2024 00:00:00","ESSEX COUNTY","401 - CENTRAL","759","691","88","11","8","1557","2058","73","2131"
"2024 November General","11/05/2024 00:00:00","ESSEX COUNTY","ESSEX COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","FAIRFAX CITY","001 - ONE","939","787","212","55","21","2014","2611","206","2817"
"2024 November General","11/05/2024 00:00:00","FAIRFAX CITY","002 - TWO","1225","860","281","77","24","2467","3065","165","3230"
"2024 November General","11/05/2024 00:00:00","FAIRFAX CITY","003 - THREE","1418","1031","431","68","29","2977","3793","306","4099"
"2024 November General","11/05/2024 00:00:00","FAIRFAX CITY","004 - FOUR","1344","518","265","38","8","2173","2736","192","2928"
"2024 November General","11/05/2024 00:00:00","FAIRFAX CITY","005 - FIVE","967","780","286","56","17","2106","2718","287","3005"
"2024 November General","11/05/2024 00:00:00","FAIRFAX CITY","006 - SIX","853","866","215","82","21","2037","2705","211","2916"
"2024 November General","11/05/2024 00:00:00","FAIRFAX CITY","FAIRFAX CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","104 - CHAPEL","783","944","286","28","65","2106","2503","121","2624"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","105 - FAIRVIEW","1884","1373","590","74","84","4005","4893","348","5241"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","106 - HERITAGE","735","1525","316","136","60","2772","4097","419","4516"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","108 - KINGS PARK","1028","1219","282","45","72","2646","3238","175","3413"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","109 - LITTLE RUN","430","648","169","19","44","1310","1682","89","1771"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","110 - NORTH SPRINGFIELD","1071","1749","470","113","81","3484","4518","289","4807"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","113 - CANTERBURY","1279","1365","442","65","79","3230","3882","197","4079"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","114 - OLDE CREEK","723","844","280","29","38","1914","2306","160","2466"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","115 - RAVENSWORTH","383","893","151","30","35","1492","1846","80","1926"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","116 - WAKEFIELD","723","929","271","33","40","1996","2396","124","2520"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","117 - WOODSON #1","537","714","242","42","55","1590","2001","155","2156"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","118 - LAKE BRADDOCK","1253","1560","374","92","77","3356","4318","305","4623"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","119 - LAUREL","1296","1467","469","55","93","3380","4129","393","4522"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","120 - SIDEBURN #1","341","373","127","11","25","877","1075","77","1152"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","121 - VILLA","550","934","209","77","38","1808","2315","178","2493"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","123 - ROBINSON","1624","1459","662","75","79","3899","4820","356","5176"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","125 - SIGNAL HILL","1142","1057","442","33","66","2740","3272","165","3437"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","126 - BONNIE BRAE","688","997","249","44","57","2035","2545","157","2702"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","127 - BURKE CENTRE","1530","1471","514","98","95","3708","4739","435","5174"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","128 - CARDINAL","715","913","206","37","47","1918","2480","186","2666"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","129 - KEENE MILL","535","728","173","23","37","1496","1845","127","1972"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","130 - TERRA CENTRE","783","954","206","28","45","2016","2428","161","2589"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","131 - EAGLE VIEW #1","566","592","107","83","53","1401","1947","345","2292"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","132 - MONUMENT","1912","1153","437","135","99","3736","5237","666","5903"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","134 - UNIVERSITY","126","513","33","429","12","1113","2175","383","2558"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","135 - IRVING","1067","786","324","40","64","2281","2736","158","2894"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","136 - WOODSON #2","389","338","137","11","26","901","1079","79","1158"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","137 - SIDEBURN #2","887","596","245","23","43","1794","2088","156","2244"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","138 - EAGLE VIEW #2","800","500","327","21","34","1682","2062","119","2181"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","201 - ARMSTRONG","1457","1178","432","63","90","3220","3840","457","4297"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","202 - FLINT HILL #1","547","463","253","16","48","1327","1550","93","1643"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","203 - FLORIS","1319","1338","431","41","94","3223","3918","206","4124"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","204 - MADISON","237","383","120","21","18","779","1007","96","1103"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","208 - RESTON #1","1534","1382","408","145","107","3576","4655","758","5413"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","209 - RESTON #2","1391","1338","436","107","116","3388","4288","361","4649"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","213 - VIENNA #1","1401","1464","592","46","111","3614","4369","250","4619"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","214 - VIENNA #2","1225","1123","449","27","107","2931","3473","238","3711"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","216 - VIENNA #4","419","665","199","29","34","1346","1625","153","1778"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","218 - VIENNA #6","799","787","416","37","77","2116","2524","146","2670"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","219 - WESTBRIAR #1","554","727","210","54","56","1601","2065","252","2317"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","220 - DOGWOOD","1351","1557","449","111","84","3552","4637","402","5039"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","221 - HUNTERS WOODS","1131","862","367","29","71","2460","2821","142","2963"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","222 - RESTON #3","719","823","241","38","60","1881","2273","223","2496"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","223 - GLADE","1377","1209","503","67","84","3240","3884","311","4195"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","224 - SOUTH LAKES","1636","1471","596","100","132","3935","4763","470","5233"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","225 - HUGHES","1260","1321","423","104","88","3196","4170","529","4699"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","226 - WOLFTRAP","1169","1278","460","37","118","3062","3575","230","3805"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","227 - SUNRISE VALLEY #1","801","667","260","32","62","1822","2113","173","2286"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","229 - FOX MILL #1","1434","1417","493","40","100","3484","4137","239","4376"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","233 - NORTH POINT","1104","663","334","23","50","2174","2572","155","2727"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","234 - ALDRIN","1177","887","336","42","78","2520","2947","282","3229"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","235 - FRYING PAN","961","1160","298","65","95","2579","3314","335","3649"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","236 - STUART","487","514","138","28","29","1196","1441","79","1520"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","237 - MCNAIR","1130","1561","394","149","89","3323","4432","603","5035"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","238 - CAMERON GLEN","2086","869","536","111","100","3702","4551","784","5335"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","240 - COLVIN","1000","755","295","31","53","2134","2582","152","2734"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","241 - FLINT HILL #2","526","544","220","20","48","1358","1575","119","1694"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","242 - WESTBRIAR #2","626","563","263","17","38","1507","1792","88","1880"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","243 - SUNRISE VALLEY #2","396","288","148","14","29","875","1066","65","1131"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","244 - FOX MILL #2","226","158","86","6","14","490","567","50","617"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","245 - PINEY RUN","399","334","126","8","31","898","1106","53","1159"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","301 - CHAIN BRIDGE","1444","928","530","52","112","3066","3748","416","4164"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","302 - CHESTERBROOK","1070","698","456","35","83","2342","2777","158","2935"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","303 - CHURCHILL","577","523","223","14","56","1393","1708","113","1821"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","304 - COOPER","935","564","343","32","84","1958","2477","194","2671"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","305 - EL NIDO","927","737","345","28","86","2123","2555","153","2708"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","306 - GREAT FALLS","953","503","267","33","52","1808","2245","139","2384"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","307 - HAYCOCK","1525","1247","559","52","117","3500","4113","236","4349"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","309 - KENMORE","1584","935","581","57","133","3290","4248","258","4506"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","310 - KIRBY","838","660","250","27","92","1867","2284","160","2444"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","311 - LANGLEY","787","620","298","24","65","1794","2179","216","2395"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","312 - LONGFELLOW","907","857","371","27","97","2259","2729","216","2945"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","314 - MCLEAN","1251","558","328","46","87","2270","2840","256","3096"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","315 - PIMMIT","1166","1140","323","78","67","2774","3531","321","3852"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","316 - SALONA","1073","715","467","45","110","2410","2931","210","3141"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","317 - WESTHAMPTON","376","310","138","7","40","871","1041","49","1090"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","318 - WESTMORELAND","550","489","203","16","56","1314","1603","116","1719"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","319 - HERNDON #1","1471","1321","401","76","111","3380","4208","343","4551"
